Time (UTCG),Torque in X (Nm),Torque in Y (Nm),Torque in Z (Nm)
07 Aug 2023 11:00:04,2.64748357448984e-06,-3.06759558468675e-06,9.16667725537653e-08
07 Aug 2023 11:05:04,0,0,0
07 Aug 2023 11:10:04,-7.93639127200876e-08,8.8187220129656e-08,1.29534644653759e-09
07 Aug 2023 11:15:04,-4.88156716441177e-08,9.19283407582695e-08,-2.54102948804411e-09
07 Aug 2023 11:20:04,0,0,0
07 Aug 2023 11:25:04,-2.73147700211258e-06,2.75200868551794e-06,-3.91750244024665e-08
07 Aug 2023 11:30:04,-1.52484738645688e-08,-6.10703734054565e-09,2.05590076234222e-09
07 Aug 2023 11:35:04,9.83287636628773e-09,1.96207982183423e-08,-2.12122197787715e-11
07 Aug 2023 11:40:04,3.41200124874126e-08,4.62520200082668e-08,-1.89053446498145e-09
07 Aug 2023 11:45:04,5.20658738167673e-08,6.84343262212278e-08,-3.06466515090058e-09
07 Aug 2023 11:50:04,4.33246969854127e-08,6.48090906556457e-08,-1.89912018534729e-09
07 Aug 2023 11:55:04,-8.01267344461743e-09,1.5540930579478e-08,2.63242080004137e-09
07 Aug 2023 12:00:04,-6.02921443812399e-08,-4.03131056494937e-08,6.77591322191711e-09
07 Aug 2023 12:05:04,-6.86737868892282e-08,-5.41228101215139e-08,7.03602315834537e-09
07 Aug 2023 12:10:04,-4.84319317553682e-08,-3.75464599135639e-08,5.01042792598344e-09
07 Aug 2023 12:15:04,-2.23299530832638e-08,-1.29547541076598e-08,2.6655616501486e-09
07 Aug 2023 12:20:04,2.99753145156606e-09,1.25930749332852e-08,5.29536069137003e-10
07 Aug 2023 12:25:04,2.77047862273525e-08,3.91759435549665e-08,-1.41736153322846e-09
07 Aug 2023 12:30:04,-5.29400654393364e-07,4.62310117934213e-07,4.66892103706744e-08
07 Aug 2023 12:35:04,0,0,0
07 Aug 2023 12:40:04,-9.10212396759582e-08,7.66818520821209e-08,3.51488629176123e-09
07 Aug 2023 12:45:04,-6.48646773788406e-08,9.30929281434917e-08,-7.2545075546938e-10
07 Aug 2023 12:50:04,0,0,0
07 Aug 2023 12:55:04,1.00377599032302e-07,-3.7581804468297e-09,-5.09049551990131e-08
07 Aug 2023 13:00:04,-2.94268344676072e-08,-1.99500775805778e-08,3.28789452407076e-09
07 Aug 2023 13:05:04,-3.81535281395144e-09,5.42217020664469e-09,1.09266896167784e-09
07 Aug 2023 13:10:04,2.09825220517045e-08,3.16052276200025e-08,-8.99328800820735e-10
07 Aug 2023 13:15:04,4.38086065284494e-08,5.76283949679024e-08,-2.57398796888005e-09
07 Aug 2023 13:20:04,5.30746668031816e-08,7.18102016263127e-08,-2.95462166294661e-09
07 Aug 2023 13:25:04,2.44316032888599e-08,4.751572188618e-08,-1.62049865373116e-10
07 Aug 2023 13:30:04,-3.56332254093051e-08,-1.31207405038026e-08,4.89194395989814e-09
07 Aug 2023 13:35:04,-6.95163684681742e-08,-5.20735232417291e-08,7.34844417996854e-09
07 Aug 2023 13:40:04,-6.12776382634435e-08,-4.86721364422487e-08,6.24545733802691e-09
07 Aug 2023 13:45:04,-3.66673295849948e-08,-2.67020443775753e-08,3.93372259476642e-09
07 Aug 2023 13:50:04,-1.07464452819674e-08,-1.46876264134263e-09,1.67229873509039e-09
07 Aug 2023 13:55:04,1.42435050412241e-08,2.44721420596657e-08,-3.74803693904068e-10
07 Aug 2023 14:00:04,3.82017326647077e-08,5.11309421680203e-08,-2.19006315409978e-09
07 Aug 2023 14:05:04,2.19424072162725e-06,-2.56470417251193e-06,7.99429922285111e-08
07 Aug 2023 14:10:04,0,0,0
07 Aug 2023 14:15:04,-8.00035606262413e-08,8.77114806799052e-08,1.40510324163396e-09
07 Aug 2023 14:20:04,-4.95768167228575e-08,9.207113393431e-08,-2.4582746191728e-09
07 Aug 2023 14:25:04,0,0,0
07 Aug 2023 14:30:04,-2.37407192172109e-06,2.38946495279748e-06,-3.62242444666806e-08
07 Aug 2023 14:35:04,-1.76984457779754e-08,-8.53095882500841e-09,2.26616748351888e-09
07 Aug 2023 14:40:04,7.43243970004799e-09,1.70916411075073e-08,1.72066305058042e-10
07 Aug 2023 14:45:04,3.18406371377756e-08,4.36671960743284e-08,-1.72215735942465e-09
07 Aug 2023 14:50:04,5.10014686316718e-08,6.68853692518464e-08,-3.01431401001271e-09
07 Aug 2023 14:55:04,4.60063344082708e-08,6.70399744101575e-08,-2.16418330198952e-09
07 Aug 2023 15:00:04,-1.91553668938705e-09,2.16799855205349e-08,2.11803737247811e-09
07 Aug 2023 15:05:04,-5.69178027169727e-08,-3.64361033119482e-08,6.53107104607906e-09
07 Aug 2023 15:10:04,-6.95355341266306e-08,-5.451332255209e-08,7.14848026082996e-09
07 Aug 2023 15:15:04,-5.0845494293988e-08,-3.97066942733431e-08,5.23666072546473e-09
07 Aug 2023 15:20:04,-2.47920714040647e-08,-1.53488046063065e-08,2.88058238832933e-09
07 Aug 2023 15:25:04,6.02098010221345e-10,1.0110611137898e-08,7.26094680752412e-10
07 Aug 2023 15:30:04,2.53359251724774e-08,3.65513342614208e-08,-1.23695804626665e-09
07 Aug 2023 15:35:04,-1.1261048450584e-06,1.09819174446911e-06,5.060238999817e-08
07 Aug 2023 15:40:04,0,0,0
07 Aug 2023 15:45:04,-9.42690958737629e-08,6.96266471390477e-08,4.47314866481895e-09
07 Aug 2023 15:50:04,-6.47864690092543e-08,9.30462435749662e-08,-7.30247300869183e-10
07 Aug 2023 15:55:04,0,0,0
07 Aug 2023 16:00:04,6.25656446446705e-07,-5.13150375214469e-07,-5.88059773475724e-08
07 Aug 2023 16:05:04,-3.19493912900458e-08,-2.23553461232044e-08,3.51183915880607e-09
07 Aug 2023 16:10:04,-6.24095092772746e-09,2.95351203262191e-09,1.29516269765534e-09
07 Aug 2023 16:15:04,1.85824234639292e-08,2.90002454980875e-08,-7.12377521342615e-10
07 Aug 2023 16:20:04,4.18454476934433e-08,5.52715194341509e-08,-2.43977567868267e-09
07 Aug 2023 16:25:04,5.33817488082286e-08,7.1600487978669e-08,-3.02344086318824e-09
07 Aug 2023 16:30:04,2.91956187663785e-08,5.20061835471697e-08,-5.89330560427562e-10
07 Aug 2023 16:35:04,-3.00330562146748e-08,-7.21125563467253e-09,4.44195729824416e-09
